year,month,product,weighted_avg_price,date,prev_month_price,monthly_change,prev_year_price,yearly_change,ma_3,ma_6,ma_12,volatility
2022,6,배,2769.7744518819013,2022-06-01,2459.716821079236,0.12605419784323924,4156.165966558246,-0.3335746276331757,2476.504766299029,2393.8000512277126,2408.752118855535,285.2464691637597
2022,7,배,2029.9825584614532,2022-07-01,2769.7744518819013,-0.26709463397563016,4015.974050175872,-0.49452298916808146,2419.824610474197,2294.5215959729394,2243.252827879334,371.50579099507183
2022,8,배,2198.3533320800684,2022-08-01,2029.9825584614532,0.08294198042086887,2423.5893259202435,-0.09293488440111541,2332.703447474474,2295.930412110332,2224.4831617259856,387.7634285521577
2022,9,배,2112.832614293658,2022-09-01,2198.3533320800684,-0.03890217124719042,2350.7075823205146,-0.10119292157642035,2113.7228349450597,2295.1138006220444,2204.660247723748,84.18891685871226
2022,10,배,1474.091567260602,2022-10-01,2112.832614293658,-0.30231502614635364,1757.5562150993292,-0.1612834032865953,1928.4258378781094,2174.125224176153,2181.038193737187,395.7817206312557
2022,11,배,1505.035244272434,2022-11-01,1474.091567260602,0.020991692578051113,1937.8557102810128,-0.22335020286201512,1697.319808608898,2015.0116280416862,2144.969821569806,360.1771044261064
2022,12,배,1595.5206754557598,2022-12-01,1505.035244272434,0.06012180214893803,2056.542235103174,-0.2241731542286003,1524.8824956629321,1819.302665303996,2106.5513582658546,63.10065071052653
2023,1,배,1922.3740200837806,2023-01-01,1595.5206754557598,0.2048568530988515,2625.6532899900944,-0.2678492520651754,1674.309979937325,1801.367908907717,2047.9447524403283,219.54209009766296
2023,2,배,1587.3178357253555,2023-02-01,1922.3740200837806,-0.17429292159484278,2189.9004352557126,-0.2751643818272469,1701.737510421632,1699.528659515265,1997.7295358127985,191.1208353158745
2023,3,배,1552.921355835881,2023-03-01,1587.3178357253555,-0.021669560509761654,2117.732283223383,-0.26670553774049655,1687.5377372150058,1606.210116438969,1950.6619585305064,204.10007170728682
