MTC_NM,PDLT_NM,VOLUME_KG,rank
경남 마산시,양파,3064743.5,2
경남 마산시,배추,1037285.5,3
경남 밀양시,풋고추,20918157.13,1
경남 밀양시,감자,12723631.9,2
경남 밀양시,딸기,10373883.4,3
경남 사천시,단감,1841457.8,1
경남 사천시,토마토,1132509.5,2
경남 사천시,딸기,985044.74,3
경남 산청군,딸기,2341032.95,1
경남 산청군,양파,1323664.0,2
경남 산청군,사과,644369.0,3
경남 양산시,당근,947050.0,1
경남 양산시,딸기,303754.65,2
경남 양산시,양파,300511.0,3
경남 의령군,양파,14063118.5,1
경남 의령군,호박,10815051.8,2
경남 의령군,수박,10001771.1,3
경남 진주시,호박,40432168.71,1
경남 진주시,풋고추,39073656.03,2
경남 진주시,꽈리고추,13807406.52,3
경남 진해시,배추,124086.15,1
경남 진해시,무순,16123.0,2
경남 창녕군,양파,50783446.0,1
경남 창녕군,마늘,14983547.6,2
경남 창녕군,오이,7281732.4,3
경남 창원시,단감,48637842.98,1
경남 창원시,풋고추,14763613.05,2
경남 창원시,수박,5667741.0,3
경남 통영시,딸기,823425.8,1
경남 통영시,시금치,494363.56,2
경남 통영시,마늘,394374.8,3
경남 하동군,딸기,5417907.25,1
경남 하동군,양상추,2254982.5,2
경남 하동군,배,1403587.5,3
경남 함안군,수박,13636841.3,1
경남 함안군,무,6258817.4,2
경남 함안군,오이,3001017.9,3
경남 함양군,양파,33100468.0,1
경남 함양군,사과,7819860.5,2
경남 함양군,수박,5970683.6,3
경남 합천군,양파,49372706.5,1
경남 합천군,딸기,2056624.15,2
경남 합천군,감자,1541644.0,3
경북 경산시,복숭아,25764444.23,1
경북 경산시,포도,16989903.2,2
경북 경산시,새송이,4072612.0,3
경북 경주시,토마토,11493103.0,1
경북 경주시,딸기,1197623.9,2
경북 경주시,사과,895963.0,3
경북 고령군,참외,13716070.8,1
경북 고령군,양파,7934022.0,2
경북 고령군,수박,4250903.0,3
경북 구미시,수박,13227152.0,1
경북 구미시,양파,6218084.1,2
경북 구미시,감자,3615773.0,3
경북 군위군,오이,6280298.1,1
경북 군위군,양파,5151202.6,2
경북 군위군,사과,4723569.16,3
경북 김천시,포도,30502153.200000003,1
경북 김천시,양파,19339598.5,2
경북 김천시,새송이,10426439.0,3
경북 문경시,사과,11749257.1,1
경북 문경시,양파,7226812.0,2
경북 문경시,배추,7121487.0,3
경북 봉화군,사과,43447553.8,1
경북 봉화군,감자,5830619.4,2
경북 봉화군,배추,4690976.0,3
경북 상주시,오이,18218198.57,1
경북 상주시,포도,18091289.8,2
경북 상주시,배,12240795.61,3
경북 성주군,참외,92044093.44,1
경북 성주군,새송이,7879261.4,2
경북 성주군,포도,1075781.8,3
경북 안동시,사과,125174120.76,1
경북 안동시,생강,2891026.7,2
경북 안동시,양파,2626126.0,3
경북 영덕군,사과,14804312.5,1
경북 영덕군,배추,1174589.7,2
경북 영덕군,배,876229.0,3
경북 영양군,사과,9449153.9,1
경북 영양군,배추,5445176.5,2
경북 영양군,상추,1015529.1,3
경북 영주시,사과,45452556.5,1
경북 영주시,복숭아,6499686.28,2
경북 영주시,생강,3956642.3,3
경북 영천시,포도,17876248.3,1
경북 영천시,양파,14686122.5,2
경북 영천시,사과,12949583.52,3
경북 예천군,사과,17961229.2,1
경북 예천군,양파,1511412.0,2
경북 예천군,참외,1432109.0,3
경북 울진군,감자,610109.5,1
경북 울진군,양파,317020.0,2
경북 울진군,배추,94084.0,3
경북 의성군,사과,35777586.3,1
경북 의성군,양파,5889780.5,2
경북 의성군,자두,3800860.5,3
경북 청도군,팽이버섯,31157566.0,1
경북 청도군,떫은감,16013888.09,2
경북 청도군,느타리버섯,9357587.0,3
경북 청송군,사과,51108948.400000006,1
